""
2,Ep,Airdate,Chaser,Contribution,Final Chase Result
6,116,"May. 8, 2013",Mark Labbett,"£5,000 + £4,000 + () + ()","21/16 ( 2 x £4,500 )"
6,117,"May. 9, 2013",Shaun Wallace,"£3,000 + £4,000 + () + ()",16/16 (0:31)
6,118,"Mar. 1, 2013",Anne Hegerty,"£4,000 + £28,000 + £2,000 + -£2,000",21/21 (0:07)
6,119,"May. 13, 2013",Shaun Wallace,"£7,000 + () + () + ()",10/10 (1:02)
6,120,"May. 14, 2013",Anne Hegerty,"() + () + () + £40,000",14/14 (0:15)
6,121,TBD,Paul Sinha,(...) + (...) + (...) + (...),..
6,122,"May. 16, 2013",Shaun Wallace,"£6,000 + £3,000 +  -£3,000","21/7 ( 3 x £2,000 )"
6,123,"May. 17, 2013",Mark Labbett,"£2,000 + £4,000 + £1,000 + £6,000",19/19 (0:09)
6,124,"May. 20, 2013",Anne Hegerty,"£6,000 + £25,000 + -£3,000 + ()",18/18 (0:30)
6,125,"May. 21, 2013",Paul Sinha,"£6,000 + £8,000 + () + ()","17/16 ( 2 x £7,000 )"
6,126,"Nov. 21, 2014",Shaun Wallace,"() + £7,000 + () + £3,000",17/17 (0:30)
6,127,"May. 23, 2013",Paul Sinha,"£3,000 + £7,000 + () + ()",18/18 (0:02)
6,128,"May. 24, 2013",Mark Labbett,"£6,000 + () + () + £500",16/16 (0:35)
6,129,"Jun. 3, 2013",Shaun Wallace,"£3,000 + £8,000 + () + £5,000","17/16( 3 x £5,333 )"
6,130,"Jun. 4, 2013",Paul Sinha,"() + () + £1,000 + £6,000",18/18 (0:07)
6,131,"Jun. 5, 2013",Mark Labbett,"() + () + £2,000 + £6,000",17/17 (0:15)
6,132,"Jun. 6, 2013",Anne Hegerty,"() + () + £8,000 + £5,000","18/14( 2 x £6,500 )"
6,133,"Jun. 7, 2013",Paul Sinha,"() + £3,000 + () + £5,000",15/15 (0:40)
6,134,"Jun. 10, 2013",Paul Sinha,"£6,000 + £6,000 + () + £6,000","17/15( 3 x £6,000 )"
6,135,"Jun. 11, 2013",Anne Hegerty,"() + (nominated + () + ()
Lazarus Chase",18/18 (0:33)
6,136,"Jun. 12, 2013",Paul Sinha,"() + £8,000 + () + -£1,000","15/12( 2 x £3,500 )"
6,137,"Jun. 13, 2013",Mark Labbett,"£5,000 + £25,000 + £5,000 + ()",19/19 (0:27)
6,138,"Jun. 14, 2013",Shaun Wallace,"£4,000 + £7,000 + () + £2,000",13/13 (0:23)
6,139,TBD,Mark Labbett,(...) + (...) + (...) + (...),..
6,140,"Jun. 18, 2013",Anne Hegerty,"£8,000 + () + () + £400",17/17 (0:17)
6,141,"Jun. 19, 2013",Mark Labbett,"£5,000 + £7,000 + () + £2,000","20/18( 3 x £4,666 )"
6,142,"Jun. 20, 2013",Paul Sinha,"() + £6,000 + £7,000 + £4,000",18/18 (0:15)
6,143,"Jun. 21, 2013",Shaun Wallace,"() + £7,000 + () + ()","17/14( 1 x £7,000 )"
6,144,"May. 15, 2013",Paul Sinha,"() + () + £6,000 + £2,000",14/14 (0:21)
6,145,"Jun. 24, 2013",Mark Labbett,"£8,000 + £6,000 + -£2,000 + £38,000","16/13( 4 x £12,500 )"
6,146,"May. 22, 2013",Shaun Wallace,"() + () + £1,000 + ()",13/13 (0:45)
6,147,"Jun. 17, 2013",Mark Labbett,"() + £6,000 + () + £54,000",17/17 (0:24)
6,148,TBD,Anne Hegerty,(...) + (...) + (...) + (...),...
6,149,TBD,Shaun Wallace,(...) + (...) + (...) + (...),...
6,150,"Jan. 2, 2013",Paul Sinha,"£25,000 + £2,000 + £7,000 + £5,000","23/21( 4 x £9,750 )"
6,151,"May. 2, 2013",Anne Hegerty,"() + £8,000 + £1,000 + ()",17/17 (0:14)
6,152,"Jun. 25, 2013",Anne Hegerty,"£25,000 + £9,000 + £7,000 + ()",12/12 (0:48)
6,153,"Jun. 27, 2013",Paul Sinha,"£5,000 + £7,000 + () + ()",16/16 (0:03)
6,154,"Jun. 26, 2013",Shaun Wallace,"£1,000 + £30,000 + () + ()",17/17 (0:21)
6,155,"Jun. 28, 2013",Anne Hegerty,"£4,000 + £3,000 + £5,000 + ()",18/18 (0:12)
9,1,"Jun. 22, 2015",Paul Sinha,"£26,000 + () + £6,000 + £4,000",19/19 (0:18)
9,2,"Sep. 24, 2015",Mark Labbett,"£40,000 + £3,000 + £6,000 + £7,000","23/17 ( 4 x £14,000 )"
9,3,"Jun. 25, 2015",Shaun Wallace,"£5,000 + () + () + £3,000",20/20 (0:11)
9,4,"Jun. 26, 2015",Mark Labbett,"£40,000 + () + £3,000 + -£13,000",21/21 (0:00)
9,5,"Jun. 29, 2015",Shaun Wallace,"() + £4,000 + () + £6,000",12/12 (0:03)
9,6,"Jun. 30, 2015",Paul Sinha,"£7,000 + £1,000 + () + £7,000",20/20 (0:06)
9,7,"Jul 1, 2015",Anne Hegerty,"£8,000 + () + £1,000 + ()","15/14 ( 2 x £4,500 )"
9,8,"Jul. 2, 2015",Mark Labbett,"() + () + () + £50,000",15/15 (0:44)
9,9,"Jul. 6, 2015",Anne Hegerty,"£400 + £4,000 + () + ()",18/18 (0:01)
9,10,"Jul. 7, 2015",Shaun Wallace,"£4,000 + £3,000 + £3,000 + £8,000","19/17 ( 4 x £4,500 )"
9,11,"Jul. 8, 2015",Paul Sinha,"() + () + £3,000 + ()",13/13 (0:21)
9,12,"Jul. 9, 2015",Mark Labbett,"£5,000 + £5,000 + () + £4,000","20/10 ( 3 x £4,666 )"
9,13,"Jul. 10, 2015",Shaun Wallace,"() + £1,000 + £1,000 + ()",10/10 (0:54)
9,14,"Jul. 13, 2015",Mark Labbett,"() + £35,000 + () + -£3,000",19/19 (0:20)
9,15,"Jul. 14, 2015",Anne Hegerty,"() + £8,000 + () + ()",16/16 (0:19)
9,16,"Jul. 15, 2015",Paul Sinha,"£8,000 + £5,000 + £5,000 + £3,000","19/16 ( 4 x £5,250 )"
9,17,"Jul. 16, 2015",Shaun Wallace,"£5,000 + () + £5,000 + -£1,000",20/20 (0:01)
9,18,"Jul. 17, 2015",Paul Sinha,"() + £1,000 + () + £4,000",17/17 (0:30)
9,19,"Jul. 20, 2015",Mark Labbett,"£6,000 + () + £4,000 + -£1,000",15/15 (0:27)
9,20,"Jul. 21, 2015",Anne Hegerty,"£1,000 + £4,000 + £6,000 + £1,000",18/18 (0:13)
9,21,"Jul. 22, 2015",Paul Sinha,"£6,000 + () + £7,000 + £7,000",18/18 (0:09)
9,22,"Jul. 23, 2015",Anne Hegerty,"£8,000 + £3,000 + £7,000 + -£2,000","21/13 ( 4 x £4,000 )"
9,23,"Jul. 24, 2015",Shaun Wallace,"£4,000 + £3,000 + () + -£1,000",16/16 (0:18)
9,24,"Jul. 27, 2015",Shaun Wallace,"£5,000 + £4,000 + () + £7,000",15/15 (0:44)
9,25,"Jul. 28, 2015",Mark Labbett,"£5,000 + £6,000 + £4,000 + £5,000",18/18 (0:18)
9,26,"Jul. 29, 2015",Shaun Wallace,"£2,000 + () + £5,000 + ()","14/12 ( 2 x £3,500 )"
9,27,"Jul. 30, 2015",Anne Hegerty,"£6,000 + £4,000 + £200 + ()",19/19 (0:05)
9,28,"Jul. 31, 2015",Paul Sinha,"£4,000 + £6,000 + () + ()",13/13 (0:52)
9,29,"Aug. 31, 2015",Anne Hegerty,"£7,000 + £5,000 + () + £5,000",17/17 (0:07)
9,30,"Sep. 1, 2015",Paul Sinha,"() + £5,000 + () + £1,000",10/10 (0:37)
9,31,"Sep. 2, 2015",Jenny Ryan,"£4,000 + £6,000 + £5,000 + £5,000",21/21 (0:14)
9,32,"Sep. 3, 2015",Mark Labbett,"£9,000 + £7,000 + () + £44,000","17/15 ( 3 x £20,000 )"
9,33,"Sep. 4, 2015",Shaun Wallace,"() + () + £1,000 + ()",9/9 (0:08)
9,34,"Sep. 7, 2015",Jenny Ryan,"£7,000 + £5,000 + () + ()",17/17 (0:25)
9,35,"Sep. 8, 2015",Shaun Wallace,"() + £30,000 + () + £4,000",16/16 (0:13)
9,36,"Sep. 9, 2015",Anne Hegerty,"£6,000 + () + £7,000 + ()","14/8 ( 2 x £6,500 )"
9,37,"Sep. 10, 2015",Mark Labbett,"£5,000 + () + £3,000 + ()",12/12 (0:24)
9,38,"Sep. 11, 2015",Paul Sinha,"£9,000 + £8,000 + £5,000 + ()","19/14 ( 3 x £7,333 )"
9,39,"Sep. 14, 2015",Anne Hegerty,"£2,000 + () + () + ()",12/12 (0:42)
9,40,"Sep. 15, 2015",Shaun Wallace,"£3,000 + £6,000 + £4,000 + ()","21/19 ( 3 x £4,333 )"
9,41,"Sep. 16, 2015",Paul Sinha,"£1,000 + £9,000 + £2,000 + £7,000",20/20 (0:04)
9,42,"Sep. 17, 2015",Mark Labbett,"() + () + £1,000 + £1,000",14/14 (0:39)
9,43,"Sep. 18, 2015",Shaun Wallace,"() + () + £8,000 + ()",13/13 (0:35)
9,44,"Sep. 21, 2015",Paul Sinha,"£2,000 + () + £30,000 + £5,000",14/14 (0:37)
9,45,"Sep. 22, 2015",Shaun Wallace,"£4,000 + () + () + £7,000",11/11 (0:46)
9,46,"Jun. 23, 2015",Mark Labbett,"£9,000 + £6,000 + £3,000 + £6,000","23/13 ( 4 x £6,000 )"
9,47,"Sep. 25, 2015",Anne Hegerty,"£4,000 + £6,000 + £4,000 + £3,000",19/19 (0:19)
9,48,"Sep. 28, 2015",Anne Hegerty,"() + £4,000 + £3,000 + £7,000",12/12 (1:04)
9,49,"Sep. 29, 2015",Paul Sinha,"£10,000 + £5,000 + () + £5,000","19/18 ( 3 x £6,666 )"
9,50,"Sep. 30, 2015",Jenny Ryan,"() + () + £5,000 + ()",15/15 (0:26)
9,51,"Oct. 2, 2015",Shaun Wallace,"£6,000 + £6,000 + £7,000 + £3,000",17/17 (0:24)
9,52,"Oct. 5, 2015",Shaun Wallace,"() + £2,000 + () + £48,000",13/13 (0:01)
9,53,"Oct. 6, 2015",Anne Hegerty,"£8,000 + £5,000 + () + ()",17/17 (0:28)
9,54,"Oct. 8, 2015",Jenny Ryan,"£3,000 + £4,000 + £5,000 + ()","17/16 ( 3 x £4,000 )"
9,55,"Oct. 9, 2015",Mark Labbett,"£4,000 + () + £6,000 + £5,000",16/16 (0:19)
9,56,"Oct. 12, 2015",Anne Hegerty,"() + £9,000 + £5,000 + £4,000","21/15 ( 3 x £6,000 )"
9,57,"Oct. 13, 2015",Mark Labbett,"£7,000 + £6,000 + () + £6,000",17/17 (0:22)
9,58,"Oct. 14, 2015",Anne Hegerty,"() + £6,000 + () + ()",13/13 (0:45)
9,59,"Oct. 15, 2015",Shaun Wallace,"£300 + £7,000 + £5,000 + £8,000","19/12 ( 4 x £5,075 )"
9,60,"Oct. 16, 2015",Paul Sinha,"£6,000 + £8,000 + () + £4,000",16/16 (0:01)
9,61,"Oct. 19, 2015",Mark Labbett,"£8,000 + () + () + ()",14/14 (0:49)
9,62,"Oct. 20, 2015",Paul Sinha,"£7,000 + £6,000 + () + ()",13/13 (0:10)
9,63,"Oct. 21, 2015",Anne Hegerty,"() + () + () + £50,000",14/14 (0:25)
9,64,"Oct. 22, 2015",Mark Labbett,"£5,000 + £6,000 + £3,000 + ()","17/16 ( 3 x £4,666 )"
9,65,"Oct. 23, 2015",Shaun Wallace,"£5,000 + () + £4,000 + ()",11/11 (0:44)
9,66,"Oct. 26, 2015",Shaun Wallace,"£3,000 + () + £4,000 + £5,000",14/14 (0:12)
9,67,"Oct. 27, 2015",Anne Hegerty,"£7,000 + £8,000 + () + ()",17/17 (0:05)
9,68,"Oct. 28, 2015",Paul Sinha,"£30,000 + () + £5,000 + £6,000","26/13 ( 3 x £13,666 )"
9,69,"Oct. 29, 2015",Jenny Ryan,"£6,000 + £4,000 + £1,000 + ()",18/18 (0:07)
9,70,"Oct. 30, 2015",Mark Labbett,"£6,000 + £8,000 + () + ()",16/16 (0:22)
9,71,"Nov. 2, 2015",Paul Sinha,"£7,000 + () + () + £6,000",14/14 (0:09)
9,72,"Nov. 3, 2015",Mark Labbett,"£5,000 + £5,000 + £4,000 + ()",14/14 (0:12)
9,73,"Nov. 4, 2015",Anne Hegerty,"£4,000 + £2,000 + () + £2,000",15/15 (0:21)
9,74,"Nov. 5, 2015",Shaun Wallace,"£6,000 + () + £44,000 + -£5,000","19/10 ( 3 x £15,000 )"
9,75,"Nov. 6, 2015",Paul Sinha,"() + £2,000 + () + ()",10/10 (1:08)
9,76,"Nov. 9, 2015",Anne Hegerty,"£9,000 + £5,000 + () + £6,000",16/16 (0:38)
9,77,"Nov. 10, 2015",Shaun Wallace,() + () + (nominated) + () Lazarus Chase,13/13 (0:15)
9,78,"Nov. 11, 2015",Jenny Ryan,"() + £6,000 + £6,000 + -£1,000","16/15 ( 3 x £3,666 )"
9,79,"Nov. 12, 2015",Mark Labbett,"£6,000 + £5,000 + £5,000 + £2,000",17/17 (0:02)
9,80,"Nov. 13, 2015",Paul Sinha,"£6,000 + £47,000 + -£3,000 + £6,000",18/18 (0:11)
9,81,"Nov. 16, 2015",Anne Hegerty,"£7,000 + £7,000 + £2,000 + ()",17/17 (0:03)
9,82,"Nov. 17, 2015",Paul Sinha,"£4,000 + £5,000 + () + ()",17/17 (0:19)
9,83,"Nov. 18, 2015",Shaun Wallace,"£4,000 + () + () + £5,000",17/17 (0:08)
9,84,"Nov. 19, 2015",Mark Labbett,"£26,000 + £6,000 + () + ()",16/16 (0:06)
9,85,"Nov. 20, 2015",Shaun Wallace,"£3,000 + £6,000 + £1,000 + £6,000","19/15 ( 4 x £4,000 )"
9,86,"Nov. 23, 2015",Paul Sinha,"£5,000 + () + () + £1,000",14/14 (0:55)
9,87,"Nov. 24, 2015",Anne Hegerty,() + () + () + (nominated) Lazarus Chase,10/10 (0:50)
9,88,"Nov. 25, 2015",Mark Labbett,"£6,000 + £6,000 + £48,000 + £2,000","26/15 ( 4 x £15,500 )"
9,89,"Nov. 26, 2015",Jenny Ryan,"£4,000 + £200 + () + ()",16/16 (0:32)
9,90,"Nov. 27, 2015",Shaun Wallace,"£3,000 + £7,000 + () + £5,000",16/16 (0:10)
9,91,"Nov. 30, 2015",Mark Labbett,"() + £5,000 + () + ()",14/14 (0:25)
9,92,"Dec. 1, 2015",Shaun Wallace,"£4,000 + () + () + £66,000",15/15 (0:02)
9,93,"Dec. 2, 2015",Paul Sinha,"£5,000 + £5,000 + () + -£1,000","20/18 ( 3 x £3,000 )"
9,94,"Dec. 3, 2015",Anne Hegerty,"£9,000 + () + £4,000 + ()",19/19 (0:04)
9,95,"Dec. 4, 2015",Paul Sinha,"() + () + £5,000 + £100",9/9 (0:25)
9,96,"Dec. 7, 2015",Shaun Wallace,"£6,000 + £3,000 + £4,000 + ()",17/17 (0:35)
9,97,"Dec. 8, 2015",Anne Hegerty,"£9,000 + () + £42,000 + -£6,000","19/17 ( 3 x £15,000 )"
9,98,"Dec. 9, 2015",Paul Sinha,"£5,000 + () + () + £4,000",14/14 (0:51)
9,99,"Dec. 10, 2015",Jenny Ryan,(nominated) + () + () + () Lazarus Chase,10/10 (0:32)
9,100,"Dec. 11, 2015",Mark Labbett,"£6,000 + £3,000 + () + ()","17/15 ( 2 x £4,500 )"
9,101,"Dec. 14, 2015",Paul Sinha,"() + £6,000 + £5,000 + -£2,000",20/20 (0:07)
9,102,"Dec. 15, 2015",Anne Hegerty,() + () + (nominated) + () Lazarus Chase,11/11 (0:56)
9,103,"Dec. 16, 2015",Shaun Wallace,"£3,000 + £5,000 + £6,000 + ()",14/14 (0:08)
9,104,"Dec. 17, 2015",Jenny Ryan,"£6,000 + £2,000 + £5,000 + £3,000","18/14 ( 4 x £4,000 )"
9,105,"Dec. 18, 2015
for Text Santa",Mark Labbett,"£5,000 + £6,000 + £6,000 + £6,000",21/21 (0:24)
9,106,"Feb. 12, 2016",Jenny Ryan,"() + £2,000 + () + ()",9/9 (0:31)
9,107,"Apr. 8, 2016",Shaun Wallace,"() + () + () + £60,000",7/7 (1:07)
9,108,"May. 4, 2016",Mark Labbett,"£9,000 + () + () + £5,000","22/20 ( 2 x £7,000 )"
9,109,"Apr. 19, 2016",Anne Hegerty,"() + £2,000 + () + ()",14/14 (0:32)
9,110,"Mar. 18, 2016",Paul Sinha,"£8,000 + () + () + £1,000",15/15 (0:06)
9,111,"Jan. 4, 2016",Mark Labbett,"() + () + £6,000 + ()",17/17 (0:15)
9,112,"Jan. 5, 2016",Jenny Ryan,"£7,000 + () + () + £4,000","17/14 ( 2 x £5,500 )"
9,113,"Jan. 6, 2016",Anne Hegerty,"£6,000 + £5,000 + £34,000 + -£5,000",19/19 (0:01)
9,114,"Jan. 7, 2016",Paul Sinha,"£9,000 + () + £4,000 + £47,000","21/17 ( 3 x £20,000 )"
9,115,"Jan. 8, 2016",Shaun Wallace,"() + £2,000 + £1,000 + ()",15/15 (0:30)
9,116,"Jan. 11, 2016",Anne Hegerty,"() + () + £1,000 + £7,000",16/16 (0:31)
9,117,"Jan. 12, 2016",Shaun Wallace,"£27,000 + £4,000 + £1,000 + -£6,000",16/16 (0:44)
9,118,"Jan. 13, 2016",Anne Hegerty,"() + £30,000 + £6,000 + £4,000","23/22 ( 3 x £13,333 )"
9,119,"Jan. 14, 2016",Paul Sinha,"£7,000 + £7,000 + £1,000 + £4,000",17/17 (0:13)
9,120,"Jan. 15, 2016",Mark Labbett,"() + () + £50,000 + -£10,000",11/11 (0:34)
9,121,"Jan. 18, 2016",Mark Labbett,"£4,000 + () + () + ()",15/15 (0:15)
9,122,"Jan. 19, 2016",Shaun Wallace,"£5,000 + -£1,000 + () + £4,000","17/13 ( 3 x £3,000 )"
9,123,"Jan. 20, 2016",Anne Hegerty,"() + £4,000 + () + £6,000",13/13 (0:38)
9,124,"Jan. 21, 2016",Jenny Ryan,"£6,000 + () + £6,000 + £2,000","16/14 ( 3 x £4,666 )"
9,125,"Jan. 22, 2016",Paul Sinha,"£5,000 + £4,000 + () + £4,000",18/18 (0:14)
9,126,"Apr. 5, 2016",Anne Hegerty,"£4,000 + () + () + £6,000",12/12 (0:37)
9,127,"Jan. 26, 2016",Shaun Wallace,"£4,000 + £4,000 + () + £6,000",14/14 (0:01)
9,128,"Jan. 27, 2016",Mark Labbett,"() + £36,000 + £3,000 + £3,000","25/23 ( 3 x £14,000 )"
9,129,"Jan. 28, 2016",Paul Sinha,"() + £7,000 + () + £3,000",14/14 (0:36)
9,130,"Jan. 29, 2016",Mark Labbett,"£30,000 + () + £3,000 + £1,000",18/18 (0:18)
9,131,"Feb. 1, 2016",Paul Sinha,"£8,000 + £3,000 + £7,000 + £4,000","24/19 ( 4 x £5,500 )"
9,132,"Feb. 2, 2016",Mark Labbett,"£5,000 + () + £300 + ()",13/13 (0:36)
9,133,"Feb. 3, 2016",Anne Hegerty,"() + £2,000 + £4,000 + £6,000",13/13 (0:24)
9,134,"Feb. 4, 2016",Paul Sinha,"() + £3,000 + () + £1,000",13/13 (0:39)
9,135,"Feb. 5, 2016",Shaun Wallace,"£4,000 + () + () + ()",16/16 (0:17)
9,136,"Feb. 8, 2016",Anne Hegerty,"£5,000 + £6,000 + () + ()",13/13 (0:04)
9,137,"Apr. 1, 2016",Mark Labbett,"() + £8,000 + £3,000 + ()",13/13 (0:54)
9,138,"Feb. 10, 2016",Anne Hegerty,"£4,000 + £5,000 + £2,000 + ()","19/14 ( 3 x £3,666 )"
9,139,"Feb. 11, 2016",Paul Sinha,"() + () + £6,000 + £3,000",14/14 (0:40)
9,140,"Apr. 22, 2016",Jenny Ryan,"£2,000 + £5,000 + £5,000 + £2,000",14/14 (0:37)
9,141,"Apr. 7, 2016",Paul Sinha,"£5,000 + £45,000 + () + £4,000",18/18 (0:01)
9,142,"Feb. 16, 2016",Jenny Ryan,"() + £9,000 + £3,000 + £4,000","16/12 ( 3 x £5,333 )"
9,143,"Feb. 17, 2016",Shaun Wallace,"£3,000 + () + () + £4,000",16/16 (0:20)
9,144,"Feb. 18, 2016",Anne Hegerty,"£5,000 + () + £1 + ()",15/15 (0:31)
9,145,"Feb. 19, 2016",Mark Labbett,"() + £8,000 + () + ()",13/13 (0:52)
9,146,"Feb. 22, 2016",Anne Hegerty,"() + £8,000 + () + £7,000",16/16 (0:13)
9,147,"Feb. 23, 2016",Mark Labbett,"£7,000 + £6,000 + £5,000 + ()",15/15 (0:15)
9,148,"Feb. 24, 2016",Shaun Wallace,"() + () + £1,000 + £49,000",12/12 (0:02)
9,149,"Apr. 6, 2016",Mark Labbett,"£9,000 + £8,000 + £4,000 + £6,000","20/14 ( 4 x £6,750 )"
9,150,"Feb. 26, 2016",Paul Sinha,"() + £3,000 + () + £4,000",9/9 (1:04)
9,151,"Feb. 29, 2016",Mark Labbett,"() + £33,000 + () + -£7,000",12/12 (0:56)
9,152,"Mar. 1, 2016",Paul Sinha,"£6,000 + £5,000 + £6,000 + £8,000","21/19 ( 4 x £6,250 )"
9,153,"Mar. 2, 2016",Jenny Ryan,"£3,000 + £2,000 + () + £5,000",17/17 (0:31)
9,154,"Mar. 3, 2016",Shaun Wallace,"() + £4,000 + £5,000 + ()",11/11 (0:15)
9,155,"Mar. 4, 2016",Anne Hegerty,"£9,000 + £6,000 + £7,000 + £9,000",18/18 (0:12)
9,156,"Mar. 7, 2016",Paul Sinha,"() + £3,000 + () + £6,000",20/20 (0:04)
9,157,"Mar. 8, 2016",Anne Hegerty,"£8,000 + £5,000 + £4,000 + ()",20/20 (0:20)
9,158,"Mar. 9, 2016",Mark Labbett,"() + £6,000 + () + £5,000","20/13 ( 2 x £5,500 )"
9,159,"Mar. 10, 2016",Shaun Wallace,"() + £5,000 + () + ()",11/11 (0:46)
9,160,"Mar. 11, 2016",Mark Labbett,"() + () + () + £60,000",11/11 (0:40)
9,161,"Mar. 14, 2016",Shaun Wallace,"£5,000 + £7,000 + £5,000 + £3,000",18/18 (0:21)
9,162,"Mar. 15, 2016",Jenny Ryan,(nominated) + () + () + () Lazarus Chase,"12/11 ( 4 x £1,000 )"
9,163,"Mar. 16, 2016",Mark Labbett,"() + () + £40,000 + £5,000",17/17 (0:20)
9,164,"Mar. 17, 2016",Anne Hegerty,"£8,000 + () + () + £3,000",15/15 (0:14)
9,165,"Apr. 12, 2016",Paul Sinha,"£26,000 + () + () + -£6,000",14/14 (0:44)
9,166,"Mar. 21, 2016",Anne Hegerty,"£5,000 + () + () + £8,000",13/13 (0:35)
9,167,"Mar. 22, 2016",Jenny Ryan,"£4,000 + £0 + () + £4,000",18/18 (0:20)
9,168,"Mar. 23, 2016",Paul Sinha,"() + £4,000 + () + ()",11/11 (0:26)
9,169,"Mar. 24, 2016",Shaun Wallace,"£3,000 + £25,000 + £2,000 + ()","16/13 ( 3 x £10,000 )"
9,170,"Mar. 25, 2016",Mark Labbett,"() + £4,000 + () + £6,000",11/11 (1:11)
9,171,"Mar. 28, 2016",Shaun Wallace,"£6,000 + () + () + £0",16/16 (0:37)
9,172,"Mar. 29, 2016",Paul Sinha,"£22,000 + () + £4,000 + £49,000","22/21 ( 3 x £25,000 )"
9,173,"Mar. 30, 2016",Jenny Ryan,"() + £4,000 + £3,000 + £3,000",15/15 (0:55)
9,174,"Mar. 31, 2016",Anne Hegerty,"£4,000 + () + £1,000 + £7,000",18/18 (0:28)
9,175,"Feb. 9, 2016",Mark Labbett,"£7,000 + £6,000 + £5,000 + £6,000",17/17 (0:39)
9,176,"Apr. 4, 2016",Jenny Ryan,"£6,000 + () + £400 + -£1,000",16/16 (0:34)
9,177,"Jan. 25, 2016",Anne Hegerty,"£4,000 + () + £5,000 + £3,000",16/16 (0:49)
9,178,"Feb. 25, 2016",Mark Labbett,"£5,000 + £20,000 + £4,000 + £6,000","22/20 ( 4 x £8,750 )"
9,179,"Feb. 15, 2016",Paul Sinha,"£5,000 + () + () + ()",12/12 (0:58)
9,180,"Apr. 11, 2016",Shaun Wallace,"£5,000 + £6,000 + () + £6,000","16/14 ( 3 x £5,666 )"
9,181,"Apr. 13, 2016",Anne Hegerty,"() + () + £300 + £7,000",19/19 (0:01)
9,182,"Apr. 14, 2016",Jenny Ryan,"£4,000 + () + () + £7,000","16/14 ( 2 x £5,500 )"
9,183,"Apr. 25, 2016",Jenny Ryan,"£3,000 + £1,000 + () + ()",13/13 (0:50)
9,184,"Apr. 26, 2016",Paul Sinha,"£5,000 + £4,000 + () + £6,000","21/19 ( 3 x £5,000 )"
9,185,"Apr. 20, 2016",Mark Labbett,"£6,000 + £7,000 + () + £3,000","16/6 ( 3 x £5,333 )"
9,186,"Apr. 27, 2016",Shaun Wallace,"£6,000 + () + () + -£1,000",16/16 (0:32)
9,187,"Apr. 28, 2016",Anne Hegerty,() + () + £500 + (),8/8 (1:07)
9,188,"Apr. 29, 2016",Paul Sinha,"£4,000 + £20,000 + £3,000 + £33,000",20/20 (0:25)
9,189,"May. 16, 2016",Jenny Ryan,"£8,000 + £5,000 + £1,000 + £5,000","17/12 ( 4 x £4,750 )"
9,190,"Sep. 6, 2016",Jenny Ryan,"£3,000 + £4,000 + () + £68,000","17/14 ( 3 x £25,000 )"
10,Ep,Airdate,Chaser,Money Banked,Final Chase
10,1,"Apr 15, 2016",Mark Labbett,"£20,000 + () + () + ()",11/11 (0:47)
10,2,"Apr 18, 2016",Shaun Wallace,"£7,000 + £4,000 + £3,000 + £7,000",19/19 (0:04)
10,3,"Apr 21, 2016",Paul Sinha,"() + () + () + £4,000",16/16 (0:44)
10,4,"May 2, 2016",Anne Hegerty,"£5,000 + £8,000 + £6,000 + £5,000",17/17 (0:32)
10,5,"May 3, 2016",Jenny Ryan,"() + £3,000 + £3,000 + £7,000",14/14 (0:12)
10,6,"May 5, 2016",Shaun Wallace,"() + £4,000 + () + ()",10/10 (0:49)
10,7,"May 6, 2016",Paul Sinha,"£6,000 + () + () + £44,000",17/17 (0:46)
10,8,"May 9, 2016",Shaun Wallace,"() + £8,000 + £4,000 + ()",17/17 (0:08)
10,9,"May 10, 2016",Anne Hegerty,"() + £4,000 + () + £6,000","19/18 ( 2 x £5,000 )"
10,10,"May 11, 2016",Mark Labbett,"() + £6,000 + () + £6,000",21/21 (0:09)
10,11,"May 12, 2016",Paul Sinha,"£4,000 + () + £3,000 + £8,000",21/21 (0:15)
10,12,"May 13, 2016",Anne Hegerty,() + (nominated) + () + () Lazarus,14/14 (0:45)
10,13,"May 17, 2016",Paul Sinha,"£6,000 + () + £5,000 + £3,000",17/17 (0:26)
10,14,"May 18, 2016",Mark Labbett,"£8,000 + £5,000 + -£3,000 + ()",16/16 (0:03)
10,15,"May 19, 2016",Shaun Wallace,"£9,000 + £7,000 + £4,000 + ()","16/5 ( 3 x £6,666 )"
10,16,"May 20, 2016",Anne Hegerty,"£8,000 + () + -£3,000 + ()",17/17 (0:19)
10,17,"May 23, 2016",Mark Labbett,"() + () + £4,000 + £6,000",18/18 (0:20)
10,18,"May 24, 2016",Jenny Ryan,"() + £7,000 + £200 + £6,000",15/15 (0:33)
10,19,"May 25, 2016",Paul Sinha,"£8,000 + £6,000 + £6,000 + ()","20/11 ( 3 x £6,666 )"
10,20,"May 26, 2016",Anne Hegerty,"£6,000 + £8,000 + £4,000 + £5,000",16/16 (0:05)
10,21,"May 27, 2016",Shaun Wallace,"() + £4,000 + £3,000 + ()",13/13 (0:56)
10,22,"May 30, 2016",Anne Hegerty,"£5,000 + () + £7,000 + £48,000",16/16 (0:12)
10,23,"May 31, 2016",Mark Labbett,"() + £4,000 + £6,000 + £3,000","22/14 ( 3 x £4,333 )"
10,24,"Jun, 1, 2016",Shaun Wallace,"£8,000 + () + () + ()",17/17 (0:25)
10,25,"Jun. 2, 2016",Anne Hegerty,"£3,000 + £6,000 + () + £5,000",19/19 (0:08)
